	Particle centroid in image (mm)			Lengths (mm)											
Particle #	X	Y 	Z	principal_x	principal_y	principal_z	principal_l1	principal_l2	principal_l3	principal_m1	principal_m2	principal_m3	principal_n1	principal_n2	principal_n3
162	380.9	407.73	348.14	154.87	95.86	67.33	0.89	-0.41	0.17	-0.12	0.14	0.98	0.43	0.9	-0.08
163	594.91	277.63	331.29	96.03	67.54	56.77	0.73	0.65	0.23	0.21	-0.53	0.82	0.65	-0.55	-0.53
164	545.7	233.91	323.53	64.37	58.9	26.92	0.68	0.61	-0.39	-0.45	0.78	0.44	0.58	-0.13	0.81
165	249.36	127.82	337.9	137.06	103.96	72.16	-0.62	0.75	0.23	0.78	0.62	0.09	0.08	-0.24	0.97
166	463.31	374.35	337.05	100.4	96.95	66.09	0.86	0.33	0.38	-0.34	0.94	-0.05	-0.37	-0.08	0.92
167	452.11	55	308.42	5.57	4.59	3	0.98	0	0.22	-0.22	0	0.98	0	1	-2.22E-016
168	380.21	491.05	347.71	98.77	85.83	63.07	0.95	0.04	0.3	-0.25	-0.49	0.84	-0.18	0.87	0.46
169	329.39	321.8	317.09	9.6	8.36	3.97	-0.1	0.09	0.99	0.98	-0.17	0.12	0.18	0.98	-0.07
170	562.76	127.39	331.95	26.11	21.83	21.39	-0.34	0.83	-0.45	0.73	-0.07	-0.68	0.59	0.56	0.58
171	655.34	254.52	326.71	11.2	6.46	5.98	0.36	0.93	0	0.86	-0.33	0.38	-0.35	0.14	0.92
172	397.9	529.43	358.27	69.86	53.44	31.94	0.92	-0.37	0.1	-0.31	-0.55	0.78	0.23	0.75	0.62
173	515.67	94.53	352	36.67	23.31	14.57	-0.06	0.66	0.75	-0.05	0.75	-0.66	1	0.07	0.01
174	333.13	293.19	368.97	93.8	67.1	49.61	0.89	0.4	-0.2	-0.44	0.68	-0.59	-0.09	0.62	0.78
175	450.34	411.65	362.59	62.25	41.47	23.86	0.62	-0.48	0.63	0.69	0.72	-0.13	-0.39	0.51	0.77
176	542.84	251.17	363.44	73.18	50.22	32.7	0.31	0.95	-0.03	-0.48	0.18	0.86	0.82	-0.25	0.51
177	614.55	300.26	371.29	79.3	60.28	30.87	-0.5	0.76	-0.41	0.86	0.39	-0.34	0.1	0.53	0.85
178	495.21	83.25	381.1	33.25	24.55	18.52	0.37	0.86	-0.37	0.16	0.33	0.93	0.92	-0.4	-0.01
179	312.93	357.29	376.32	14.54	8.94	5.34	0.03	0.77	0.64	-0.1	-0.63	0.77	0.99	-0.09	0.06
180	320.01	371.68	377.9	27.37	9.77	6.73	0.55	0.8	0.24	-0.31	-0.08	0.95	0.78	-0.59	0.21
181	365.72	93.02	375.13	7.22	6.15	4.16	-0.18	-0.29	0.94	-0.13	0.95	0.27	0.97	0.08	0.21
182	367.16	44.08	384.26	12.51	9.54	5.57	-0.35	-0.02	0.94	0.81	0.5	0.31	-0.48	0.86	-0.16
183	523.57	206.94	394.88	13.76	11.98	11.88	-0.44	0.79	0.42	-0.43	-0.6	0.68	0.79	0.11	0.6
